Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Ascomycota incertae sedis;o__Ascomycota incertae sedis;f__Ascomycota incertae sedis;g__Trichoconis	0.633	0	1.0	54
d__Fungi;p__Ascomycota;c__Ascomycota incertae sedis;o__Ascomycota incertae sedis;f__Ascomycota incertae sedis;g__Troposporella	0.795	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes	0.761	0	1.0	3414
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae	0.54	0	1.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Melanops	0.54	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Microdiplodia	0.705	0	1.0	244
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Phyllosticta	0.755	0	1.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.857	0	1.0	52
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae	0.56	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales incertae sedis	0.73	0	1.0	16
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales incertae sedis;g__Capnodiales incertae sedis	0.694	0	1.0	7
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales incertae sedis;g__Devriesia	0.77	0	1.0	26
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales incertae sedis;g__Pseudoramichloridium	0.615	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales incertae sedis;g__Rachicladosporium	0.92	0	1.0	97
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae	0.81	0	1.0	16
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium complex	0.791	0	1.0	136
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Davidiella	0.89	0	1.0	185
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Davidiellaceae	0.602	0	1.0	6
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.704	0	1.0	8
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercosporella	0.5	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Miuraea	0.697	0	1.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.987	0	1.0	32
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria	0.87	0	1.0	4
