Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Fungi	domain	1055	148	100	119	95	185	1014	337	1112	401	111	242	810	4875	1417	54	1171	68	258	709	659	289	67	283	177	99	625	162
Ascomycota	phylum	1440	784	457	285	355	323	144	146	150	33	68	69	308	240	248	188	63	18	1061	67	8327	292	247	875	3612	380	158	171
Archaeorhizomycetes	class	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	1
Archaeorhizomycetales	order	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3
Archaeorhizomyces	genus	283	661	597	254	260	100	11	0	0	6	2	143	7	0	1	172	0	0	0	0	338	625	405	960	705	112	663	74
Archaeorhizomycetales_unidentified_1	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Archaeorhizomycetes_unidentified_1	genus	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2
Ascomycota_unidentified_1_1	genus	269	1914	3289	1153	131	891	239	48	25	5	139	108	309	81	495	450	3	27	1489	0	343	845	346	1395	764	203	244	5089
Dothideomycetes	class	0	8	7	7	2	48	2	0	0	1	54	0	1	0	3	0	1	0	3	0	2	58	3	1	1	3	3	0
Botryosphaeriales	order	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Botryosphaeriaceae	family	0	0	1	0	1	854	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
Dothiorella	genus	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Botryosphaeriales_unidentified_1	genus	0	0	0	59	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1
Camarosporium	genus	1	0	0	0	0	0	2	0	0	0	0	20	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnodiales	order	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnodiales_unidentified_1	genus	0	3	9	1	0	1	0	1	0	0	0	0	30	6	26	0	2	0	2	0	0	1	1	3	1	0	0	3
