Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Pezicula	genus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	4	0	0	0
Helotiaceae	family	1	0	0	0	0	0	0	0	0	0	0	17	0	0	13	0	0	0	0	0	1	0	1	0	0	0	1	0
Articulospora	genus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0
Crocicreas	genus	0	0	0	0	0	0	0	0	1	0	0	1138	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Helotiaceae_unidentified	genus	72	1	2	13	6	4	0	0	2	1	4	18	107	2	28	0	0	0	0	2	25	0	3	8	2	1	6	10
Hymenoscyphus	genus	6	0	2	4	2	18	0	2	0	0	1	0	0	10	76	0	1	0	1	0	15	1	1	1	0	0	3	9
Neobulgaria	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
Rhizoscyphus	genus	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Varicosporium	genus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helotiales_unidentified_1	genus	2570	1446	1039	3010	3537	6097	609	14678	4285	20129	792	862	1244	2603	12955	2790	319	4442	432	384	1725	1200	895	635	1343	1769	939	2177
Rhabdocline	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hyaloscyphaceae	family	1	0	1	3	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Hyaloscypha	genus	2	0	40	55	28	0	0	0	1	0	2	0	0	2	1	2	1	4	0	0	0	0	3	0	0	0	11	0
Hyaloscyphaceae_unidentified	genus	1	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	1	0	0	1
Lachnum	genus	1	1	8	16	0	0	0	0	0	0	50	4	737	0	0	0	0	0	0	0	1	0	11	0	0	30	15	1
Mycoarthris	genus	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Incertae_sedis_2	family	1	0	0	1	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ascocoryne	genus	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	2	0	0	0	3
Cadophora	genus	1	5	579	195	287	42	0	1	1	25	95	2	40	2	1	0	2	2	1	0	6	1	40	11	25	1	3953	46
Catenulifera	genus	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
Cystodendron	genus	7	0	0	0	0	3	0	0	0	6	0	365	302	29	49	0	0	0	0	0	3	0	0	0	0	0	0	0
Glarea	genus	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicodendron	genus	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Infundichalara	genus	8	0	1	51	189	8	0	2	0	2	1	0	2	0	9	2	0	3	3	1	6	1	1	3	0	5	2	11
Leptodontidium	genus	12	32	20	68	58	13	0	0	3	8	37	2	3	124	312	1	2	1	204	0	60	40	36	8	4	6	36	2
Oculimacula	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhexocercosporidium	genus	1	0	0	0	0	1	24	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetracladium	genus	8	1	0	2	0	1	0	0	2	2	1	0	0	556	0	0	1	0	0	0	0	0	0	6	18	20	0	0
Xenopolyscytalum	genus	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	1	5	0	0	1	0	0	0	0	0	0	0	0
Phacidium	genus	0	4	4	4	0	1	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	1
Sclerotiniaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Botrytis	genus	0	0	0	1	0	0	3	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phialocephala	genus	1	20	35	41	23	0	3	24	0	0	44	15	0	1	2	19	0	24	12	0	27	18	44	9	4	15	11	0
