Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp9;o__Gp9;f__Gp9;g__Gp9	0.58	374	0.0	4
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Acanthopleuribacterales;f__Acanthopleuribacteraceae;g__Acanthopleuribacter	0.57	374	0.0	1
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	0.69	374	0.0	1
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix	0.99	374	0.0	1
d__Bacteria;p__Actinobacteria	0.708	373	0.0	429
d__Bacteria;p__Actinobacteria;c__Actinobacteria	0.707	374	0.0	1678
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales	0.814	375	0.0	3671
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Acidimicrobiaceae	0.551	375	0.0	317
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrimicrobium	0.558	375	0.0	97
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrithrix	0.579	376	0.0	10
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter	0.864	375	0.0	730
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Acidimicrobineae_incertae_sedis;g__Aciditerrimonas	0.686	375	0.0	1816
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	0.587	375	0.0	993
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.841	374	0.0	3237
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Acidothermaceae;g__Acidothermus	0.845	374	0.0	174
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__Actinospica	0.897	375	0.0	50
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Catenulisporaceae;g__Catenulispora	0.927	374	0.0	102
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.75	374	0.0	1
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	1.0	375	0.0	1
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacterineae_incertae_sedis	0.531	373	0.0	12
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacterineae_incertae_sedis;g__Hoyosella	0.53	372	0.0	4
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacterineae_incertae_sedis;g__Tomitella	0.57	373	0.0	6
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae	0.53	375	0.0	7
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__Cryptosporangium	0.843	375	0.0	3
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__Fodinicola	0.81	374	0.0	2
