Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi	1.0	275	0.0	22597
d__Fungi;p__Ascomycota	0.804	248	0.0	26631
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes	0.852	196	0.0	2798
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales	0.525	200	0.0	180
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces	0.982	193	0.0	153340
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetes_unidentified;f__Archaeorhizomycetes_unidentified_1;g__Archaeorhizomycetes_unidentified_1	0.53	197	0.0	2
d__Fungi;p__Ascomycota;c__Ascomycota_unidentified;o__Ascomycota_unidentified_1;f__Ascomycota_unidentified_1;g__Ascomycota_unidentified_1_1	0.978	345	0.0	21014
d__Fungi;p__Ascomycota;c__Dothideomycetes	0.904	238	0.0	29
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Incertae_sedis_33;g__Camarosporium	1.0	271	0.0	7
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.843	232	0.0	10
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_unidentified;g__Capnodiales_unidentified_1	0.991	241	0.0	215
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Davidiella	0.933	230	0.0	175
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Capnobotryella	0.842	225	0.0	30
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Elasticomyces	0.928	219	0.0	6
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Phaeotheca	0.665	206	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.955	221	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora	0.59	220	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerellaceae_unidentified	0.99	254	0.0	162
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.89	220	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Sphaerulina	0.854	220	0.0	32
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae	0.588	220	0.0	5
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia	0.573	227	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Endoconidioma	0.99	261	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Dothioraceae_unidentified	0.99	256	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Incertae_sedis_22;g__Celosporium	0.572	248	0.0	6
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_unidentified;f__Dothideomycetes_unidentified_1;g__Dothideomycetes_unidentified_1	0.834	252	0.0	1420
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae	0.713	214	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae;g__Cenococcum	0.987	214	0.0	2658
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae;g__Gloniaceae_unidentified	0.55	214	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Hysteriales_unidentified;g__Hysteriales_unidentified_1	0.961	237	0.0	15
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8	0.599	236	0.0	11
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae	0.599	238	0.0	64
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae;g__Gymnostellatospora	0.991	246	0.0	31
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae;g__Oidiodendron	0.996	241	0.0	12986
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae	0.5	237	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudeurotiaceae_unidentified	0.989	236	0.0	175
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudeurotium	0.959	236	0.0	17756
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudogymnoascus	0.975	247	0.0	533
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Microthyriales;f__Microthyriaceae;g__Tothia	0.727	226	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.696	224	0.0	17
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13	0.63	222	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Ascochyta	0.96	216	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Incertae_sedis_13_unidentified	1.0	214	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Phoma	0.837	213	0.0	367
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Pyrenochaeta	0.66	218	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Stagonosporopsis	0.879	215	0.0	7
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Acicuseptoria	1.0	253	0.0	7
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium	0.895	269	0.0	11
