Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Clavulinaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0
Clavulicium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0
Clavulinaceae	genus	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	265	0	0	0	0	0	0	0	0	0
Tulasnellaceae	family	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epulorhiza	genus	0	1	1	2	0	0	0	0	0	0	2	0	0	0	17	0	0	0	0	0	0	2	0	17	0	0	0	0
Gloeotulasnella	genus	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tulasnella	genus	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geastrales	order	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Radiigera	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schenella	genus	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerobolus	genus	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Veluticeps	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gomphales	order	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gautieria	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gomphaceae	family	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	1	0	0	0
Ramaria	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ramaricium	genus	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenochaetales	order	0	2	1	0	1	0	0	0	1	0	0	60	1	0	0	1	6	0	0	3	0	0	1	0	0	0	0	3
Hymenochaetaceae	family	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coltricia	genus	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1556	0	0	316	0	0	0	0	0	0	0	0
Inonotopsis	genus	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phellopilus	genus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrrhoderma	genus	1	0	0	0	0	2	0	0	1	4	0	1	11	1	0	0	3	0	0	2	0	0	0	0	0	1	0	0
Hymenochaetales incertae sedis	family	0	6	3	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	12
Contumyces	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Resinicium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphagnomphalia	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2
Lagarobasidium	genus	0	0	0	7	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Hysterangiaceae	family	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	32
Hysterangium	genus	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	57
Phallogaster	genus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Phlebogaster	genus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10
Rhopalogaster	genus	228	33	64	316	145	11	7	36	2	34	23	12	7	0	1	76	16	1089	6	1	749	16	908	79	19	1595	95	3
Polyporales	order	1	1	1	0	0	1	1	0	0	0	128	1	0	1	1	0	0	0	0	0	16	7	0	1	1	11	19	1
Coriolaceae	family	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0
Amylocystis	genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anomoporia	genus	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	25	0	0	1	0	4	0	1
Antrodiella	genus	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Diplomitoporus	genus	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0
Rigidoporus	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Dictyonema	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ganoderma	genus	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Climacocystis	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Lachnocladium	genus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydnopolyporus	genus	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0
Aphyllophoralean	genus	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	4	0	0
Aphyllophorales	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Russulales	order	0	20	0	0	1	0	0	0	0	0	2	249	1	0	0	0	0	1	0	0	5	2	0	1	0	2	0	1
Jahnoporus	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bondarzewia	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Heterobasidion	genus	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podoscyphaceae	family	0	1	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyphellostereum	genus	0	53	0	0	0	0	0	2	0	0	1	1308	1	0	0	0	0	7	2	0	0	1	0	0	0	1	1	1
Stereaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Boreostereum	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Sebacinales	order	3	3	1	2	0	1	2	0	47	0	4	9	0	3	11	0	9	25	0	2	0	14	0	1	2	0	1	1
Sebacinaceae	family	6	1	0	3	0	1	10	0	765	5	10	29	0	13	12	0	35	25	0	6	1	5	1	2	3	0	0	1
Piriformospora	genus	1	0	1	1	0	0	6	0	547	3	2	42	0	0	1	0	32	7	0	1	0	2	0	0	0	0	0	0
Sebacina	genus	127	5	0	3	7	33	66	0	1309	3	0	80	0	265	234	0	69	0	0	4	0	0	0	69	21	1	1	0
uncultured_Sebacinaceae	genus	0	17	4	6	0	0	0	0	5	1	32	0	1	0	0	0	0	138	0	0	0	22	3	0	0	0	0	3
uncultured_Sebacinales incertae sedis	genus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3
Thelephorales	order	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boletopsis	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Thelephoraceae	family	0	45	96	59	21	7	0	0	0	0	0	0	2	0	0	0	0	181	153	1	6	1	17	1	2	8	214	1
Amaurodon	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pseudotomentella	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Thelephora	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0
Tomentella	genus	0	256	545	224	67	13	0	0	0	0	0	1	0	0	0	0	0	2146	1804	1	3	0	25	6	82	19	387	1
Tomentellopsis	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	99	16	0	0	3	0	0	1
uncultured_Thelephoraceae	genus	0	113	313	133	25	13	0	0	0	0	2	0	2	0	0	0	0	914	675	0	0	0	13	1	1	11	484	2
Agaricostilbomycetes	class	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bensingtonia	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
