Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Archaea	0.522	298	0.0	21
d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Pyrodictiaceae;g__Pyrolobus	0.63	555	0.0	1
d__Bacteria	0.984	459	0.0	63696
d__Bacteria;p__Acetothermia;c__Acetothermia_genera_incertae_sedis;o__Acetothermia_genera_incertae_sedis;f__Acetothermia_genera_incertae_sedis;g__Acetothermia_genera_incertae_sedis	0.54	452	0.0	3
d__Bacteria;p__Acidobacteria	0.695	476	0.0	1885
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1	0.85	462	0.0	9313
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp10;o__Gp10;f__Gp10;g__Gp10	0.771	497	0.0	247
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp11;o__Gp11;f__Gp11;g__Gp11	0.949	466	0.0	45
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp12;o__Gp12;f__Gp12;g__Gp12	0.691	455	0.0	70
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp13;o__Gp13;f__Gp13;g__Gp13	0.951	487	0.0	181
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp15;o__Gp15;f__Gp15;g__Gp15	0.933	481	0.0	351
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp16;o__Gp16;f__Gp16;g__Gp16	0.936	461	0.0	2806
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp17;o__Gp17;f__Gp17;g__Gp17	0.91	496	0.0	235
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp18;o__Gp18;f__Gp18;g__Gp18	0.92	480	0.0	4
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp19;o__Gp19;f__Gp19;g__Gp19	0.963	479	0.0	4
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Acidicapsa;f__Acidicapsa;g__Acidicapsa	0.802	451	0.0	440
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Acidipila;f__Acidipila;g__Acidipila	0.605	455	0.0	460
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Acidobacterium;f__Acidobacterium;g__Acidobacterium	0.579	469	0.0	78
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Bryocella;f__Bryocella;g__Bryocella	0.643	466	0.0	2756
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Candidatus Koribacter;f__Candidatus Koribacter;g__Candidatus Koribacter	0.635	460	0.0	435
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Edaphobacter;f__Edaphobacter;g__Edaphobacter	0.685	460	0.0	762
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Gp1;f__Gp1;g__Gp1	0.932	452	0.0	26982
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Granulicella;f__Granulicella;g__Granulicella	0.93	447	0.0	8985
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Telmatobacter;f__Telmatobacter;g__Telmatobacter	0.655	456	0.0	223
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Terriglobus;f__Terriglobus;g__Terriglobus	0.642	451	0.0	74
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp20;o__Gp20;f__Gp20;g__Gp20	0.875	470	0.0	10
