Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Thalassobaculum	genus	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Tistlia	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaplasma	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ehrlichia	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsiaceae	family	0	1	0	1	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0
Orientia	genus	1	2	2	1	0	1	1	1	7	0	0	2	0	5	1	0	10	0	0	9	2	1	2	0	0	0	0	0
Rickettsia	genus	3	2	1	0	1	0	1	2	1	0	1	2	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Oceanibacterium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Sphingomonadales	order	3	0	0	1	0	1	1	0	3	1	0	5	0	0	4	0	10	3	0	1	0	0	3	0	1	0	0	0
Erythrobacteraceae	family	0	0	0	0	0	0	3	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Altererythrobacter	genus	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Croceicoccus	genus	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Erythrobacter	genus	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythromicrobium	genus	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sphingomonadaceae	family	9	41	48	8	11	3	47	9	115	12	8	87	2	106	51	1	127	89	6	98	6	62	49	13	42	5	30	0
Blastomonas	genus	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hephaestia	genus	0	3	2	1	0	0	4	3	21	1	1	13	0	6	7	1	12	6	0	5	1	13	8	0	0	1	1	1
Novosphingobium	genus	9	1	2	1	3	0	5	5	26	5	0	9	1	10	16	2	37	8	1	19	7	4	2	17	9	2	0	1
